Z	Symbol	Ka	Ka1	Ka2	Kb	Kb1	Kb2	La1	Lb1	Lb2	Lg1	Lg2	Lg3	Lg4	Ll	G1	G2	G3
59	Pr	35.864	36.02	35.548	40.953	40.746	41.772	5.033	5.488	5.849	6.322	6.598	6.616	6.815	4.453	0	0	0
60	Nd	37.185	37.355	36.845	42.484	42.269	43.298	5.229	5.721	6.088	6.602	6.883	6.902	7.107	4.633	0	0	0
61	Pm	38.535	38.718	38.16	44.049	43.945	44.955	5.432	5.96	6.338	6.891	0	0	0	0	0	0	0
62	Sm	39.914	40.111	39.523	45.649	45.4	46.553	5.635	6.205	6.585	7.18	7.467	7.487	7.714	4.995	0	0	0
63	Eu	41.323	41.535	40.877	47.283	47.027	48.241	5.845	6.455	6.842	7.478	7.768	7.796	8.03	5.177	0	0	0
64	Gd	42.761	42.989	42.28	48.949	48.718	49.961	6.056	6.712	7.102	7.788	8.087	8.105	8.355	5.362	0	0	0
65	Tb	44.229	44.474	43.737	50.65	50.391	51.737	6.272	6.977	7.365	8.104	8.398	8.423	8.685	5.546	0	0	0
66	Dy	45.728	45.991	45.193	52.384	52.178	53.491	6.494	7.246	7.634	8.418	8.714	8.753	9.02	5.743	0	0	0
67	Ho	47.257	47.539	46.686	54.155	53.934	55.292	6.719	7.524	7.91	8.748	9.051	9.087	9.374	5.943	0	0	0
68	Er	48.818	49.119	48.205	55.963	55.69	57.088	6.947	7.809	8.188	9.089	9.385	9.431	9.722	6.152	0	0	0
69	Tm	50.41	50.733	49.762	57.806	57.576	58.969	7.179	8.1	8.467	9.424	9.73	9.779	10.084	6.342	0	0	0
70	Yb	52.035	52.38	51.326	59.687	59.352	60.959	7.414	8.4	8.757	9.779	10.09	10.143	10.46	6.546	0	0	0
71	Lu	53.693	54.061	52.959	61.607	61.282	62.946	7.654	8.708	9.047	10.142	10.46	10.511	10.843	6.753	0	0	0
72	Hf	55.382	55.781	54.579	63.562	63.209	64.936	7.898	9.021	9.346	10.514	10.834	10.891	11.233	6.96	0	0	0
73	Ta	57.106	57.523	56.27	65.556	65.21	66.999	8.145	9.342	9.65	10.892	11.217	11.278	11.645	7.173	0	0	0
74	W	58.864	59.308	57.973	67.586	67.233	69.09	8.396	9.671	9.96	11.283	11.608	11.674	12.063	7.388	0	0	0
75	Re	60.655	61.13	59.707	69.659	69.296	71.22	8.651	10.008	10.273	11.684	12.01	12.082	12.492	7.604	0	0	0
76	Os	62.482	62.99	61.477	71.775	71.404	73.393	8.91	10.354	10.597	12.094	12.422	12.5	12.923	7.822	0	0	0
77	Ir	64.346	64.885	63.278	73.933	73.549	75.605	9.174	10.706	10.919	12.509	12.842	12.924	13.368	8.046	0	0	0
78	Pt	66.246	66.821	65.111	76.131	75.736	77.866	9.441	11.069	11.249	12.939	13.27	13.361	13.828	8.268	0	0	0
79	Au	68.185	68.792	66.98	78.372	77.968	80.165	9.712	11.44	11.583	13.379	13.71	13.809	14.3	8.494	0	0	0
80	Hg	70.16	70.807	68.894	80.656	80.258	82.526	9.987	11.821	11.922	13.828	14.162	14.265	14.778	8.721	0	0	0
81	Tl	72.176	72.859	70.82	82.985	82.558	84.904	10.267	12.211	12.27	14.288	14.625	14.737	15.272	8.953	0	0	0
82	Pb	74.228	74.956	72.794	85.357	84.922	87.343	10.55	12.612	12.621	14.762	15.101	15.218	15.777	9.185	0	0	0
83	Bi	76.321	77.095	74.805	87.774	87.335	89.833	10.837	13.021	12.978	15.244	15.582	15.71	16.295	9.42	0	0	0
84	Po	78.46	79.279	76.868	90.243	89.809	92.386	11.129	13.445	13.338	15.74	16.07	0	0	9.664	0	0	0
85	At	80.636	81.499	78.956	92.754	92.319	94.976	11.425	13.874	13.705	16.248	0	0	0	0	0	0	0
86	Rn	82.855	83.768	81.08	95.315	94.877	97.615	11.725	14.313	14.077	16.768	0	0	0	0	0	0	0
87	Fr	85.124	86.089	83.243	97.93	97.483	100.305	12.029	14.768	14.448	17.301	0	0	0	0	0	0	0
88	Ra	87.437	88.454	85.446	100.523	100.136	103.048	12.338	15.233	14.839	17.845	18.179	18.357	19.084	10.622	0	0	0
89	Ac	89.79	90.868	87.861	103.31	102.846	105.838	12.65	15.71	15.227	18.405	0	0	0	0	0	0	0
90	Th	92.19	93.334	89.942	106.077	105.592	108.671	12.967	16.199	15.621	18.977	19.305	19.507	20.292	11.119	0	0	0
91	Pa	94.643	95.852	92.271	108.906	108.408	111.575	13.288	16.699	16.022	19.559	19.872	20.098	20.882	11.366	0	0	0
92	U	97.143	98.422	94.649	111.786	111.289	114.549	13.612	17.217	16.425	20.163	20.485	20.713	21.562	11.618	0	0	0
93	Np	99.693	101.005	97.023	114.72	114.181	117.533	13.942	17.747	16.837	20.774	21.11	21.34	22.2	11.89	0	0	0
94	Pu	102.295	103.653	99.457	117.716	117.146	120.592	14.276	18.291	17.252	21.401	21.725	21.982	22.891	12.124	0	0	0
95	Am	104.952	106.351	101.932	120.775	120.163	123.706	14.615	18.849	17.673	22.042	22.361	0	0	12.384	0	0	0
96	Cm	107.67	109.098	104.448	123.903	123.235	126.875	14.961	19.393	18.106	22.699	0	0	0	0	0	0	0
97	Bk	110.45	111.595	107.023	127.102	126.362	130.101	15.309	19.971	18.54	23.37	0	0	0	0	0	0	0
98	Cf	113.298	114.745	109.603	130.377	129.544	133.383	15.561	20.562	18.98	24.056	0	0	0	0	0	0	0
99	Es	116.217	117.646	112.244	133.73	132.781	136.724	16.018	21.166	19.425	24.758	0	0	0	0	0	0	0
100	Fm	119.21	120.596	114.926	137.167	136.075	140.122	16.379	21.785	19.879	25.475	0	0	0	0	0	0	0
27	Co57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.413	122.0614	136.4743
48	Cd109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.035
