ELEMENT	Z	A1	B1	A2	B2	A3	B3	A4	B4	A5	B5	MPD	WPD	S
In	49	4.7031	89.2096	8.2361	8.9965	16.4206	1.7229	14.6608	0.2062	4.9493	0.0238	0.245	0.810	C
Sn	50	4.9677	83.2133	7.4873	10.1130	17.4268	1.7605	14.9229	0.2042	5.1678	0.0237	0.218	0.787	C
Sb	51	4.6001	82.5070	7.4399	12.5902	18.3475	1.7906	15.1777	0.2029	5.4096	0.0238	0.199	0.712	CM
Te	52	4.5671	79.7245	7.7178	13.8028	18.8338	1.7411	15.2844	0.1976	5.5769	0.0235	0.181	0.740	C
I	53	4.3147	78.6996	8.3728	14.9421	19.1961	1.6795	15.3645	0.1921	5.7365	0.0232	0.165	0.755	C
Xe	54	3.4467	88.3050	19.4724	1.6131	9.7473	16.1669	15.4210	0.1869	5.9034	0.0229	0.147	0.751	CM
Cs	55	2.5751	224.5980	19.7181	1.5722	11.0138	17.7908	15.5312	0.1845	6.1374	0.0229	0.181	0.661	CM
Ba	56	3.2477	266.5930	19.7824	1.4758	11.2142	16.2710	15.4790	0.1775	6.2602	0.0225	0.165	0.678	CM
La	57	3.6683	224.7260	11.7149	14.7472	19.8077	1.3823	15.4015	0.1708	6.3860	0.0222	0.151	0.662	C
Ce	58	3.7218	212.5660	12.0076	14.0417	20.1925	1.3272	15.4540	0.1681	6.5996	0.0221	0.154	0.632	C
Pr	59	3.6287	208.1030	11.9193	13.8486	20.8823	1.3025	15.6425	0.1690	6.8971	0.0222	0.178	0.619	C
Nd	60	3.7229	194.9980	12.0836	13.2282	21.2664	1.2573	15.7405	0.1677	7.1521	0.0222	0.182	0.609	C
Pm	61	3.8009	184.3400	12.2546	12.6793	21.6281	1.2139	15.8659	0.1669	7.4126	0.0222	0.190	0.607	C
Sm	62	3.8533	176.3920	12.3520	12.2878	22.0136	1.1810	16.0323	0.1672	7.7082	0.0223	0.192	0.627	C
Eu	63	3.9234	167.8160	12.4961	11.8294	22.3133	1.1433	16.2152	0.1676	8.0085	0.0224	0.204	0.626	CM
Gd	64	4.1100	160.8590	13.0008	11.0492	22.2962	1.0914	16.2937	0.1659	8.2594	0.0223	0.189	0.622	C
Tb	65	4.1589	155.1860	13.2197	10.6407	22.4627	1.0667	16.5329	0.1674	8.5842	0.0224	0.195	0.649	C
Dy	66	4.0415	150.0580	13.1038	10.6511	22.8132	1.0708	17.0066	0.1723	8.9849	0.0227	0.220	0.704	C
Ho	67	4.0620	145.9760	13.2132	10.3972	22.9351	1.0569	17.3999	0.1752	9.3388	0.0228	0.224	0.740	C
Er	68	4.0815	142.0720	13.3282	10.1525	22.9865	1.0438	17.8548	0.1785	9.6967	0.0229	0.227	0.773	C
Tm	69	4.7416	100.1700	13.2875	9.0676	23.1429	0.9833	17.9215	0.1753	9.8935	0.0227	0.169	0.732	C
Yb	70	4.1014	135.8330	13.4586	9.8125	22.9675	1.0290	18.9998	0.1860	10.4188	0.0231	0.228	0.832	CM
Lu	71	4.3261	133.3600	13.8638	9.1664	22.6992	0.9951	19.3649	0.1861	10.6986	0.0230	0.207	0.82	C
Hf	72	4.5759	124.5010	14.3292	8.5195	22.3741	0.9599	19.7027	0.1857	10.9720	0.0229	0.192	0.794	C
Ta	73	4.7416	117.6480	14.9284	7.9070	22.0214	0.9250	20.0290	0.1850	11.2347	0.0227	0.180	0.749	C
W	74	4.8423	112.6940	15.6421	7.3551	21.6701	0.8892	20.3207	0.1837	11.4817	0.0226	0.169	0.689	C
Re	75	5.0015	106.0010	16.3874	6.7592	21.3263	0.8491	20.5247	0.1817	11.7163	0.0224	0.160	0.604	CM
Os	76	5.3630	93.6155	17.5066	6.0569	23.3197	0.7156	20.9425	0.1373	8.8158	0.0127	0.179	0.458	C
Ir	77	5.0953	98.2594	15.4321	6.9463	15.5924	1.2550	26.5617	0.2600	14.2784	0.0242	0.123	0.352	C
Pt	78	5.6451	69.2677	18.8015	5.3127	20.6881	0.7107	20.5266	0.1702	12.2868	0.0216	0.125	0.239	C
Au	79	5.8170	65.4079	19.5635	4.9469	20.3716	0.6809	20.6837	0.1680	12.5114	0.0214	0.114	0.192	CM
Hg	80	5.9389	74.0107	19.4946	4.9118	19.0547	0.7375	22.4442	0.1779	13.0069	0.0216	0.156	0.253	CM
